55
144
0	2	6.000	2.000	18.000
1	2	6.000	6.000	15.000
2	0	6.000	4.000	18.000
2	1	6.000	3.000	15.000
2	5	6.000	6.000	18.000
2	7	6.000	8.000	20.000
3	5	6.000	6.000	12.000
4	7	6.000	7.000	21.000
5	2	6.000	1.000	18.000
5	3	6.000	7.000	12.000
5	6	6.000	10.000	12.000
5	11	6.000	5.000	40.000
6	5	6.000	8.000	12.000
6	7	6.000	2.000	15.000
6	8	6.000	9.000	17.000
7	2	6.000	5.000	20.000
7	4	6.000	8.000	21.000
7	6	6.000	10.000	15.000
7	10	6.000	6.000	23.000
8	6	6.000	6.000	17.000
8	9	6.000	3.000	22.000
9	8	6.000	9.000	22.000
9	17	6.000	6.000	17.000
10	7	6.000	8.000	23.000
10	12	6.000	2.000	20.000
11	5	6.000	10.000	40.000
11	14	6.000	4.000	17.000
12	10	6.000	6.000	20.000
12	15	6.000	4.000	10.000
13	15	6.000	1.000	12.000
14	11	6.000	9.000	17.000
14	19	6.000	8.000	20.000
15	12	6.000	7.000	10.000
15	13	6.000	4.000	12.000
15	16	6.000	5.000	20.000
16	15	6.000	5.000	20.000
16	20	6.000	3.000	14.000
16	23	6.000	6.000	15.000
17	9	6.000	7.000	17.000
17	18	6.000	2.000	21.000
18	17	6.000	9.000	21.000
18	19	6.000	8.000	12.000
18	20	6.000	7.000	10.000
19	14	6.000	8.000	20.000
19	18	6.000	7.000	12.000
19	20	6.000	2.000	12.000
20	16	6.000	3.000	14.000
20	18	6.000	6.000	10.000
20	19	6.000	2.000	12.000
20	21	6.000	3.000	10.000
20	23	6.000	5.000	13.000
21	20	6.000	5.000	10.000
21	22	6.000	5.000	11.000
21	24	6.000	2.000	11.000
22	21	6.000	9.000	11.000
22	26	6.000	1.000	16.000
23	16	6.000	4.000	15.000
23	20	6.000	6.000	13.000
23	25	6.000	10.000	13.000
24	21	6.000	8.000	11.000
24	29	6.000	4.000	11.000
25	23	6.000	6.000	13.000
25	28	6.000	2.000	11.000
25	31	6.000	8.000	17.000
26	22	6.000	8.000	16.000
26	27	6.000	6.000	11.000
27	26	6.000	7.000	11.000
27	35	6.000	5.000	15.000
28	25	6.000	5.000	11.000
28	29	6.000	8.000	11.000
28	30	6.000	5.000	11.000
29	24	6.000	2.000	11.000
29	28	6.000	9.000	11.000
29	30	6.000	2.000	12.000
30	28	6.000	10.000	11.000
30	29	6.000	9.000	12.000
30	33	6.000	7.000	12.000
31	25	6.000	5.000	17.000
31	32	6.000	7.000	10.000
32	31	6.000	10.000	10.000
32	36	6.000	2.000	17.000
33	30	6.000	3.000	12.000
33	34	6.000	4.000	11.000
33	36	6.000	6.000	16.000
34	33	6.000	3.000	11.000
34	35	6.000	5.000	12.000
34	38	6.000	6.000	17.000
35	27	6.000	5.000	15.000
35	34	6.000	6.000	12.000
35	42	6.000	7.000	23.000
36	32	6.000	4.000	17.000
36	33	6.000	3.000	16.000
36	37	6.000	7.000	11.000
37	36	6.000	3.000	11.000
37	40	6.000	9.000	12.000
38	34	6.000	6.000	17.000
38	39	6.000	5.000	10.000
39	38	6.000	6.000	10.000
39	40	6.000	5.000	11.000
39	41	6.000	5.000	16.000
40	37	6.000	4.000	12.000
40	39	6.000	4.000	11.000
40	41	6.000	5.000	19.000
41	39	6.000	4.000	16.000
41	40	6.000	6.000	19.000
41	42	6.000	2.000	23.000
41	45	6.000	4.000	20.000
42	35	6.000	4.000	23.000
42	41	6.000	5.000	23.000
42	43	6.000	5.000	20.000
42	51	6.000	5.000	50.000
43	42	6.000	1.000	20.000
43	44	6.000	7.000	12.000
43	46	6.000	10.000	12.000
44	43	6.000	8.000	12.000
44	45	6.000	7.000	11.000
45	41	6.000	3.000	20.000
45	44	6.000	8.000	11.000
45	48	6.000	8.000	27.000
46	43	6.000	5.000	12.000
46	47	6.000	9.000	21.000
47	46	6.000	5.000	21.000
47	48	6.000	2.000	11.000
47	49	6.000	6.000	22.000
48	45	6.000	8.000	27.000
48	47	6.000	5.000	11.000
48	50	6.000	6.000	28.000
49	47	6.000	7.000	22.000
49	50	6.000	5.000	16.000
49	51	6.000	4.000	21.000
50	48	6.000	5.000	28.000
50	49	6.000	2.000	16.000
50	51	6.000	8.000	12.000
50	53	6.000	6.000	27.000
51	42	6.000	4.000	50.000
51	49	6.000	9.000	21.000
51	50	6.000	10.000	12.000
51	52	6.000	6.000	17.000
52	51	6.000	1.000	17.000
52	54	6.000	10.000	19.000
53	50	6.000	8.000	27.000
53	54	6.000	7.000	13.000
54	52	6.000	3.000	19.000
54	53	6.000	6.000	13.000
